"from";"to"
"stat";"11000002"
"12010245";"12010247"
"12010251";"12010253"
"12010251";"12010252"
"12011414";"12010099"
"12011414";"12010100"
"12011414";"12011415"
"12011846";"12010174"
"12011846";"12011416"
"12010151";"12010152"
"12010151";"12010153"
"12010154";"12010155"
"12010154";"12010156"
"12010157";"12010158"
"12010157";"12010159"
"12010160";"12010161"
"12010160";"12010162"
"12010160";"12010163"
"12010248";"12010249"
"12010248";"12010250"
"12011419";"12012139"
"12011419";"12012138"
"12011419";"12010164"
"12012140";"12012141"
"12012140";"12012142"
"12010183";"12010184"
"12010183";"12010185"
"12010183";"12011876"
"12010186";"12010187"
"12010186";"12010188"
"12010186";"12010189"
"12010190";"12010191"
"12010190";"12010192"
"12010193";"12010194"
"12010193";"12010195"
"12010193";"12010196"
"12010198";"12010199"
"12010198";"12010200"
"12010201";"12010203"
"12010201";"12010202"
"12010204";"12010207"
"12010204";"12010206"
"12010204";"12010205"
"12010209";"12012132"
"12010209";"12011170"
"12010209";"12010215"
"12010209";"12010214"
"12010209";"12010212"
"12010209";"12010211"
"12010209";"12010210"
"12010213";"12011183"
"12010213";"12011182"
"12010213";"12010229"
"12010213";"12010230"
"12010213";"12011181"
"12010218";"12010219"
"12010218";"12010221"
"12010218";"12010220"
"12010222";"12011843"
"12010222";"12010217"
"12010222";"12010216"
"12011844";"12010223"
"12011844";"12010224"
"12011844";"12010225"
"12011844";"12010226"
"12012133";"12012134"
"12012133";"12012135"
"12012133";"12012136"
"12010176";"12010177"
"12010176";"12010178"
"12010176";"12011418"
"12010232";"12010233"
"12010232";"12010234"
"12010232";"12010235"
"12010240";"12010241"
"12010240";"12010242"
"12010240";"12011935"
"12010991";"12010993"
"12010991";"12012392"
"12011184";"12010181"
"12011184";"12010244"
"12011184";"12011055"
"stat";"11000010"
"11000010";"12011328"
"11000010";"12012311"
"11000010";"12012310"
"11000010";"12012308"
"11000010";"12011327"
"11000010";"12001907"
"11000010";"12012309"
"11000010";"12001868"
"11000010";"12001862"
"12001868";"12001869"
"12001868";"12001905"
"12011327";"12011269"
"12011327";"12011270"
"12011327";"12012118"
"12011327";"12012117"
"12011327";"12001917"
"12011328";"12001972"
"12011328";"12001976"
"12011328";"12001969"
"12011328";"12001962"
"12011328";"12001959"
"12012308";"12001866"
"12012308";"12001867"
"12012309";"12001948"
"12012309";"12001951"
"12012309";"12001954"
"12012309";"12012050"
"12012310";"12001929"
"12012310";"12001924"
"12012310";"12001940"
"12012311";"12001902"
"12012311";"12001946"
"12012311";"12011911"
"12001869";"12001901"
"12001869";"12001870"
"12001869";"12010761"
"12001905";"12001906"
"12001917";"12001920"
"12001917";"12001919"
"12001917";"12012591"
"12001917";"12001918"
"12011269";"12011322"
"12011269";"12008637"
"12011269";"12011323"
"12011269";"12012618"
"12011270";"12011325"
"12011270";"12011324"
"12012117";"12001915"
"12012117";"12001916"
"12012117";"12001934"
"12001959";"12001960"
"12001959";"12001961"
"12001959";"12010763"
"12001962";"12001963"
"12001962";"12001964"
"12001962";"12001965"
"12001969";"12001938"
"12001969";"12011914"
"12001969";"12012393"
"12001972";"12012590"
"12001972";"12011994"
"12001972";"12011145"
"12001972";"12001974"
"12001972";"12001973"
"12001976";"12001978"
"12001976";"12001977"
"12001948";"12001950"
"12001948";"12001949"
"12001951";"12001952"
"12001951";"12001953"
"12001954";"12001955"
"12001954";"12010352"
"12001924";"12010762"
"12001924";"12001928"
"12001924";"12001927"
"12001924";"12001926"
"12001924";"12001925"
"12001929";"12001932"
"12001929";"12001931"
"12001929";"12001930"
"12001929";"12001933"
"12001929";"12011321"
"12001940";"12001941"
"12001940";"12001942"
"12001940";"12011401"
"12001902";"12001904"
"12001902";"12001903"
"12011911";"12001957"
"12011911";"12011913"
"stat";"11000011"
"11000011";"12012182"
"11000011";"12012693"
"11000011";"12004908"
"11000011";"12004911"
"11000011";"12004916"
"11000011";"12004917"
"11000011";"12004906"
